Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Abbreviation,Sum_Total_Injuries,Safety_Score,US_State
20040729X01104,Accident,2004-07-08,"FERNANDINA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172 RG,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20040730X01118,Accident,2004-07-17,"OKEECHOBEE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040917X01452,Accident,2004-07-24,"SUGAR LOAF KEY, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-151,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,FL,0.0,0.0,Florida
20040917X01453,Accident,2004-07-31,"WIMAUMA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040917X01454,Accident,2004-08-03,"SARASOTA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20040927X01496,Accident,2004-08-12,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172SP,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20041006X01578,Accident,2004-09-10,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,FL,0.0,0.0,Florida
20041005X01566,Accident,2004-09-10,"GAINESVILLE, FL",United States,Non-Fatal,Substantial,Airplane,Maule,M4-210C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20041004X01557,Accident,2004-09-11,"INVERNESS, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20041001X01555,Accident,2004-09-15,"BELLE GLADE, FL",United States,Non-Fatal,Substantial,Airplane,Air tractor,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20041115X01813,Accident,2004-10-19,"VALKARIA, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20041105X01762,Accident,2004-10-30,"JACKSONVILLE, FL",United States,Fatal,Substantial,Airplane,Cessna,P206,1.0,Reciprocating,Skydiving,1.0,4.0,1.0,1.0,VMC,FL,6.0,19.0,Florida
20041208X01944,Accident,2004-10-30,"ZELLWOOD, FL",United States,Non-Fatal,Substantial,Airplane,Steven w. jones,KR2,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20041203X01918,Accident,2004-11-07,"FORT PIERCE, FL",United States,Non-Fatal,Substantial,Airplane,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20041118X01840,Accident,2004-11-07,"PIERSON, FL",United States,Non-Fatal,Substantial,Airplane,Champion,7GCBC,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20050111X00031,Accident,2004-11-21,"ZEPHYRHILLS, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,FL,1.0,3.0,Florida
20050201X00125,Accident,2005-01-04,"CLEWISTON, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172SP,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20050209X00163,Accident,2005-01-21,"DAYTONA BEACH, FL",United States,Non-Fatal,Substantial,Airplane,Lee harold swarthout,Velocity XLRG,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20050201X00124,Accident,2005-01-25,"PUNTA GORDA, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,182S,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20050401X00393,Accident,2005-01-31,"OCALA, FL",United States,Non-Fatal,Substantial,Airplane,Grumman american,AA-5A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20050318X00335,Accident,2005-02-12,"PANACEA, FL",United States,Non-Fatal,Substantial,Airplane,Dickson,RV-7A,1.0,Reciprocating,Flight Test,0.0,0.0,1.0,1.0,VMC,FL,1.0,1.0,Florida
20050309X00286,Accident,2005-02-21,"BROOKSVILLE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,FL,0.0,0.0,Florida
20050401X00392,Accident,2005-03-02,"BARTOW, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,305A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20050414X00454,Accident,2005-03-02,"PANAMA CITY, FL",United States,Non-Fatal,Substantial,Airplane,Air tractor,AT-602,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
